time	pagename	username	content	photo	video	link	kdv	kq	cmt	
12/08/25 - 22:25	FP - Chuyện của Hà Nội	Lê Giang Uyên	Người làm nên đất nước #05 - Những người thợ làm nón lá, không giàu vật chất, nhưng giàu trách nhiệm, giàu tình yêu nước, giàu khao khát muốn gìn giữ một điều gì đó cho văn hóa nước nhà…  Lần đầu mình biết đến làng Chuông là vài năm trước, và đến giờ vẫn còn nguyên những ấn tượng với nơi đây. Không phải chỉ là cây lá, nan tre, mà là câu chuyện của những bàn tay khéo léo, là sự kiên nhẫn không ngừng nghỉ của những người vẫn gìn giữ nét văn hóa của dân tộc bao lâu nay. Và bởi mỗi chiếc nón mang theo cả một phần hồn Việt, quý lắm!   Người thợ làm nón không chỉ tạo ra sản phẩm, họ đang giữ lửa cho một giá trị truyền thống. Giữ cho những câu chuyện văn hóa, tình quê hương không bị trôi theo thời gian ồn ào, tấp nập. Bà Khuyến, một người “thợ” làm nón ở làng Chuông có một tâm sự mình ấn tượng nhiều, đó là: “Nghề này kiếm không được bao nhiêu, là nghề truyền thống nên có trách nhiệm giữ gìn. Cả ngày chỉ tỉ mẩn được 1, 2 chiếc tranh thủ thời gian nhàn rỗi. Mỗi chiếc tôi lãi 30.000 đồng. Già cả rồi, tay chân chậm chạp không vào xưởng làm được nên tự nhập hàng về làm thôi”. Những chiếc nón được làm ra, không phải vì tiền phần nhiều đâu, mà vì trách nhiệm giữ gìn, bằng tình yêu của người làm ra nó.   Giữa bộn bề cuộc sống hiện đại, khi người trẻ bận rộn với đủ thứ mới lạ, nghề làm nón vẫn âm thầm tồn tại, bằng tình yêu, bằng sự tự hào của những người thợ già và cả những bạn trẻ quyết tâm nối tiếp.  Đôi khi mình nghĩ, giữ nghề truyền thống không chỉ là giữ nghề cho riêng mình, mà còn là trao cho mai sau một món quà tinh thần quý giá, biết đâu đấy, một ngày nào đó, chiếc nón lá vẫn sẽ là hình ảnh đầu tiên người ta nghĩ tới khi nhắc về Việt Nam.  Vậy nên, dù là nghề gì, khi bạn thấy người ta còn miệt mài với nó, thì hãy trân trọng. Bởi đó là những người đang gìn giữ một phần linh hồn đất nước.  | Trích đoạn phỏng vấn bà Phạm Thị Khuyến từ báo Quân đội nhân dân.	527747626_24144943808460203_8431015220931402230_n.png			Vũ	L	
12/08/25 - 22:25	FP - Chuyện của Hà Nội	Lê Giang Uyên	bkd ơiii				Vũ		
12/08/25 - 22:57	FP - Chuyện của Hà Nội	Lê Giang Uyên	Mình đã qua giai đoạn mọi người hỏi “lương tháng mày kiếm được bao nhiêu tiền?” rồi, đã đến giai đoạn “một tháng gửi về được cho bố mẹ bao nhiêu?”. Người chị thân thiết với mình nghỉ việc, câu hỏi duy nhất mình được hỏi về chị là: “Thế giờ có biết nó làm ở đâu không? Lương có cao hơn ở đây không?”   Không có ai hỏi mình giờ có đang hạnh phúc với công việc không, dự tính với công việc trong tương lai thế nào.  Cũng không có ai hỏi mình là chị đồng nghiệp cũ ấy có hài lòng với lựa chọn hiện tại không, có yêu thích công việc mới không.   Mọi người chỉ quan tâm tới những con số thôi, và lấy nó để “đo” chất lượng cuộc sống của một người… mọi người không thấy vấn đề tài chính là vấn đề cá nhân sao, tại sao lại muốn biết về tiền lương hay cách người khác sử dụng tiền làm gì nhỉ?  | Một topic được chia sẻ từ member Inside the Box.	526754085_1379456676479778_893808805170577964_n.jpg			Vũ	L	
12/08/25 - 22:57	FP - Chuyện của Hà Nội	Lê Giang Uyên	[Message Retracted]				Vũ		
12/08/25 - 23:28	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	Những đứa trẻ từng xuất chúng, các bạn có ổn không?  Thực sự, hào quang quá khứ càng lớn, áp lực cũng càng lớn theo.  Ai cũng có những khoảng lặng trong đời mình, mong tất cả chúng ta vẫn vững tin rằng, cuộc đời rồi sẽ tươi sáng, mọi thứ rồi sẽ tốt hơn, bằng một cách nào đó...  | Video: Dung Miền Mặn		528685409_24155152070804837_2807165902792082913_n.mp4		Vũ	L	
12/08/25 - 23:28	FP - Chuyện của Hà Nội	Nguyễn Đức Trọng	BKD oiii				Vũ		
07/08/25 - 16:42	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh				https://znews.vn/moi-ngay-thao-cam-vien-don-5500-luot-khach-nua-nam-lai-hon-3-ty-post1574593.html	Dương		
07/08/25 - 16:42	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Cảm ơn mấy ní sơ hở là đi Thảo Cầm Viên xem mấy em thú ngủ  Gần 1 triệu lượt khách tham quan trong nửa đầu năm đem về cho Thảo Cầm Viên 56,6 tỷ đồng tiền vé vào cổng, lãi 3,2 tỷ đồng.  Theo Z News	528608991_732812436243298_1201219538965957323_n.jpg			Dương	L	
07/08/25 - 16:42	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	@Dương Nguyễn @Quyen Tieu	525985268_654676780973564_1917648975916065418_n.png			Dương		
07/08/25 - 17:16	FP - Sài Gòn nghenn	Lê Ngọc Tuyền				https://share.google/NPbpXA6u4S5FGzYO6	Dương		
07/08/25 - 17:16	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Bkd check video này giúp e với ạ. Còn 2 link kia là thông tin chương trình + chia sẻ của BTC	"526583848_1230098108805113_3586166207838738409_n.jpg 504266749_1205713774683119_576028949997122096_n.jpg"			Dương		
07/08/25 - 17:16	FP - Sài Gòn nghenn	Lê Ngọc Tuyền		525680639_2315302028885217_4014846362999619023_n.jpg			Dương		
07/08/25 - 18:14	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Bắt gặp các bạn nhân viên tổ chức sinh nhật bất ngờ cho bác bảo vệ của quán. Nhìn bác ngại lúng túng vậy thôi, chứ mình tin ắt hẳn bác rất hạnh phúc. Đôi khi điều bình thường của chúng ta lại có thể đặc biệt với người khác		527599601_24281619831527305_5641690482889314716_n.mp4		Dương	L	
07/08/25 - 18:14	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Lưng áo chú ướt đẫm mồ hôi nhưng nụ cười trên môi vẫn tươi rói    Người làm việc bằng cái tâm, đối xử với mọi người bằng tấm lòng chân thành, rồi sẽ nhận được sự yêu thương tương xứng thôi. Trend này dễ thương quá đi  Video: Tous Les Jours Nguyễn Thị Thập		526439419_1424913282056853_4899314439642933943_n.mp4		Dương	L	
08/08/25 - 08:18	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Đôi khi chỉ một việc làm rất nhỏ cũng có thể cứu cả một cuộc đời, đừng bao giờ để cảm xúc nhất thời ảnh hưởng đến cả tương lai	528648331_755086856908049_8967579505376168055_n.jpg			Dương	L	
08/08/25 - 08:33	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	ĐẤT NƯỚC MÌNH CÙNG TRỌN NIỀM VUI  Chúc mừng sinh nhật Tổ Quốc đúng nghĩa gòi, hóng tới 2/9 quá nè mấy ní ơi   Cmt:   Thủ tướng lưu ý tổ chức tốt các hoạt động văn hóa, tổ chức đêm ca nhạc và bắn pháo hoa trên 34 tỉnh thành vào dịp Quốc khánh 2/9.  Theo báo Tiền Phong	521660985_732133279666959_6389955029290387395_n.png			Dương	L	
08/08/25 - 10:29	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	[Message Retracted]	526073387_773148205170306_416897592837026739_n.png			Dương		
08/08/25 - 10:29	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Nay là ngày của quàng thượng đó, làm sao coi được thì làm nhen				Dương	L	
08/08/25 - 11:29	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Nấu cỡ đó mà lúc nào cũng lo con cháu đói hông à   Video: thien_1982		528404765_24765519256398901_6979974785357210649_n.mp4		Dương	L	
08/08/25 - 12:24	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Tới giờ cơm có đói cũng cực kỳ kỷ luật chứ hong phải dỡn chơi    Video: Gia Đình Bích La		527693129_23944354921903935_1439102521308903168_n.mp4		Dương	L	
08/08/25 - 15:04	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Phần credit MV đúng nghĩa là Made In Vietnam   Xem phần credit MV Made In Vietnam thấy tự hào vô cùng khi được biết tên của những người đứng trước lẫn đứng sau ống kính, bởi sự tâm huyết trong công việc và câu chuyện cá nhân của mỗi người đều thật đáng nể.  Bao gương mặt Việt Nam xuất hiện trong MV, có người mình biết rõ, có người chỉ gặp thoáng qua, có người lần đầu được biết. Nhưng tất cả đều mang trong mình tinh thần của những “người thường phi phàm”.  Đại diện thế hệ ông cha, những cô chú cựu chiến binh, nữ biệt động Sài Gòn, cựu thanh niên xung phong… từng lăn mình giữa bom đạn để giữ gìn từng tấc đất quê hương.  Cũng có những con người bình dị mà phi thường, một chú 10 năm rong ruổi khắp Sài Gòn sửa xe miễn phí, nhóm cô chú hay phát cơm 1.000 đồng cho người khó khăn. Họ lặng lẽ gieo yêu thương nhỏ bé giữa đời.  Rồi đến thế hệ trẻ hôm nay: những người làm giáo dục, sáng tạo nghệ thuật, thi đấu thể thao, hoạt động cộng đồng… Họ cũng miệt mài ở vị trí của mình, đóng góp và lan tỏa giá trị Việt Nam đi rất xa.   MV Made In Vietnam được thực hiện chỉn chu với kỹ xảo hiện đại. Theo chia sẻ của đạo diễn Kawaii Tuấn Anh: "VFX của MV này được thực hiện bởi đội ngũ kỹ xảo gồm hơn 60 người trẻ là người Việt Nam"  Ekip đã vẽ nên một chuyến tàu đi dọc Việt Nam được tô điểm bằng những nét đẹp văn hóa giàu bản sắc dân tộc. Hình ảnh kỹ xảo hiện đại hòa vào những câu chuyện lịch sử, những chất liệu dân gian được lồng ghép hết sức mượt mà.  Nhưng cái đẹp đó không giả tạo vì đâu đó là nụ cười, là cái nắm tay hay cả ánh mắt kiên định của "Những con người thân thương nhỏ bé" dọc khắp ba miền Tổ quốc, là điều đã khiến vẻ đẹp đó chân thật vô cùng.  Hòa nhập nhưng không hòa tan. Ai cũng khao khát góp một phần nhỏ bé của mình vào khát vọng hùng cường của dân tộc trong kỷ nguyên mới. Một MV Made In Vietnam không thể Việt Nam hơn nhưng cũng không kém phần quốc tế.   Ảnh cắt từ MV & Đạo diễn Kawaii Tuấn Anh	"525752118_1209896727490590_8150215538839492304_n.jpg 525752118_3717551548545018_6591664108229361445_n.jpg 526828058_692814993765967_980496017317865643_n.jpg 525977619_1486383662718289_7142702801121312116_n.jpg 525961667_4268335863446512_4413678089611260666_n.jpg"			Dương	L	
08/08/25 - 17:17	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Lan tỏa tinh thần dân tộc là điều tốt, nhưng hãy làm sự tự hào đó một cách thật chỉn chu  Thật đáng quý khi một sản phẩm nghệ thuật muốn khơi gợi lòng tự hào dân tộc, đưa hình ảnh đất nước và con người Việt Nam ra thế giới. Nhưng “tinh thần” chỉ là một nửa câu chuyện - nửa còn lại để trọn vẹn còn cần “cái tâm” và “cái tầm” khi thực hiện.  Chúng ta đang sống trong thời đại AI bùng nổ, nơi công nghệ có thể hỗ trợ con người tạo ra những hình ảnh tưởng như chỉ tồn tại trong trí tưởng tượng. AI vẽ ra những bối cảnh khó phục dựng chỉ qua vài dòng prompt, giúp tiết kiệm thời gian, công sức, và đôi khi tạo ra những hiệu ứng thị giác ấn tượng đến bất ngờ.  Nhưng, nếu lạm dụng AI một cách thiếu cân nhắc, sản phẩm sẽ đánh mất sự tinh tế, thậm chí tạo ra những sai lệch khó chấp nhận - nhất là khi tác phẩm mang trên mình trọng trách truyền tải lịch sử, văn hóa, hay hình ảnh quốc gia. Một bộ trang phục bị biến tấu không rõ nguồn gốc, một lá cờ không thuộc triều đại nào, hay những chi tiết sai lệch về kiến trúc, phong tục… có thể làm mất nhiều giá trị mà chúng ta mong muốn được lan tỏa đến mọi người.  Lịch sử và văn hóa không phải là thứ để “trang trí” cho đẹp, mà là nền tảng để truyền tải giá trị. Khi đã chọn kể câu chuyện gắn với quá khứ, với hình ảnh đất nước, thì từng chi tiết cần được chăm chút, tìm hiểu, và tôn trọng. Công nghệ có thể làm đẹp, nhưng chỉ trái tim và sự hiểu biết mới làm nên chiều sâu cho tác phẩm đó.  Lan tỏa tinh thần dân tộc là điều tốt. Nhưng sự tự hào ấy sẽ đáng trân trọng hơn khi nó được xây trên một nền móng chỉn chu - nơi AI là công cụ hỗ trợ, chứ không phải chắp vá từ những chi tiết chưa thực sự vẹn toàn.  Bởi suy cho cùng, một tác phẩm chạm được vào trái tim người xem không nằm ở số lượng hiệu ứng, mà ở cảm giác “thật” mà nó mang lại. Và cái “thật” ấy, chỉ đến từ sự am hiểu, tôn trọng và tình yêu dành cho lịch sử, văn hóa của chính người làm ra nó mà thôi.				Dương	L	
08/08/25 - 17:17	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	[Message Retracted]				Dương		
08/08/25 - 17:17	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh				https://tuoitre.vn/kiep-sau-van-la-nguoi-viet-nam-co-lam-sai-lech-van-hoa-lich-su-20250808143334671.htm	Dương		
08/08/25 - 17:17	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	Chỉ cmt link báo cho mem dễ xin lửa thôi, bài viết và ảnh k sử dụng gì của báo mà Vĩnh tự biên hoàn toàn				Dương	L	
08/08/25 - 17:17	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	Bkd check giúp nhee				Dương		
08/08/25 - 17:17	FP - Sài Gòn nghenn	Tuấn Dũng	Ảnh này đè logo gốc hả mn				Dương		
08/08/25 - 17:17	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	em đang đổi ảnh ạ mn đợi em xíu				Dương		
08/08/25 - 17:17	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	bkd xem caption trước tí nha				Dương		
08/08/25 - 18:30	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Bà con nghe tin Ái Phương dìa Bến Tre kiểu: “Em nấu gì cũng được, đừng nấu món luộc!”	528600640_1985309878890788_4103317718260559583_n.jpg			Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Dương		526619781_622751927559532_2711831454825343868_n.jpg			Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Dương Nguyễn	Bỏ nhé em				Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	E đổi ảnh ntn ạ	527801532_737254302560765_8203740404803561274_n.jpg			Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Khi ta về già, cần gì những điều kiêu xa		526761664_31153479967583741_4736232253877365669_n.mp4		Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	[Message Retracted]		527592476_24205600202436435_860344922217643268_n.mp4		Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	“Ngày mai trong tiếng ca khải hoàn sẽ không có con đâu. Con tự hào vì đã dâng trọn đời mình cho Tổ quốc. Dĩ nhiên con cũng cay đắng vì không được sống tiếp cuộc sống hòa bình hạnh phúc mà mọi người trong đó có con đã đổ máu xương để giành lại. Nhưng có gì đâu, hàng triệu người như con đã ngã xuống mà chưa hề được hưởng trọn lấy một ngày hạnh phúc. Cho nên có ân hận gì đâu!”   (Trích Nhật ký Đặng Thuỳ Trâm)				Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	em xin nốt ảnh ạ @Quyen Tieu@Dương Nguyễn	526758767_1059046409546830_7034259231346652385_n.jpg			Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Lí do em Gấu bơ anh Jun trong chuyến quay lại Bản Liền hôm qua:	525388793_719513807579973_6972897125867589956_n.jpg			Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Dương Nguyễn	K dí em ơi				Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Dạ vâng em bỏ bài đó ạa				Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Đổi ảnh thử đi Nam ơi				Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	Kiêu sa sao á beo ơi				Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Nhân bản con tướng này giúp tui nhe    Dạo này lướt toptop thấy vài em nhỏ đang đu trend chưa đúng với lứa tuổi, nếu không phải nói là phản cảm. Phần bình luận toàn những câu “mong tựu trường nhanh nhanh”, “mong ba mẹ thu lại điện thoại” thôi.  Nhưng em trai này thì khác hẳn, em chỉ đăng video timelapse học bài. Vừa dễ thương đúng lứa tuổi, vừa truyền năng lượng tích cực đến không chỉ các bạn đồng trang lứa, mà còn tác động đến người lớn như mình.  Hy vọng, quý phụ huynh nếu có cho con em dùng điện thoại di động thì nên chủ động quan sát và hướng các em dùng đúng cách.   Mầm non nào cũng cần được chăm sóc kỹ càng, trước khi nó trở thành một cái cây vững chãi trước gió.  Video dễ thương từ em hieuuuuuuu_meomeo. Chúc em học thiệt tốt nhen				Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Em có search thì kiêu sa là kiểu đẹp, kiêu hãnh í chị còn kiêu xa là xa xỉ	526102525_1423828322201554_3396941179496656675_n.png			Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	“Sự cẩu thả trong bất cứ nghề gì cũng là một sự bất lương rồi." (Đời thừa - Nam Cao).  Cách mà các sản phẩm giải trí gần đây ứng dụng AI không chỉ mang tính hời hợt và coi thường IQ của khán giả mà còn thể hiện sự thiếu tôn trọng đối với lịch sử, với những người đã và đang cố gắng làm nghề tâm huyết. AI không xấu, nhưng sử dụng AI sao cho đúng đắn mới tạo nên giá trị của tác phẩm và đạo đức của người làm nghề."				Dương	L	
08/08/25 - 18:48	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Em đổi ảnh bài hồi nãy ạa				Dương		
08/08/25 - 18:48	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	E đổi thành vid này ạ		529940663_9019122058212434_973393403223541617_n.mp4		Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Khách: cho em xin menu quán mình với Chủ quán: nhìn lên nóc nhà chọn món dùm chị    Video: My		528721215_24248437644813906_344329517160470064_n.mp4		Dương	L	
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Dành cho những ai đang bị áp lực đồng trang lứa    Cre: thai__ann	526890737_721721640689487_6277681860284109803_n.jpg			Dương	L	
09/08/25 - 14:21	FP - Sài Gòn nghenn	Dương Nguyễn	Ngộ Khỉ hơn 1k tuổi mới thành Phật cơ				Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Nghe khoẻ quá cuộc sống nhẹ nhàng ghê				Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Dương Nguyễn	Nhưng Na Tra mười mấy tuổi là thành tiên r :))				Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Ghét thằng đó				Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	😇				Dương		
09/08/25 - 14:21	FP - Sài Gòn nghenn	Dương Nguyễn	A fan Trư Đại Tiên =))				Dương	L	
09/08/25 - 14:21	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Lifestyle sành điệu				Dương		
09/08/25 - 17:54	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang				https://drive.google.com/file/d/1xlxCs27DjbQKXMx1id8EU0HqF9-HLpUF/view?usp=drive_link	Dương	L	
09/08/25 - 17:54	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Dáng vẻ của đứa trẻ lớn lên trong hạnh phúc				Dương	L	
09/08/25 - 19:55	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Ngày nào mà đem đi giặt thì ngày đó là cực hình. Có gấu ghiền mới ngủ ngon bây ơi	525992233_1488939005613201_7204229865097052203_n.jpg			Dương	L	
09/08/25 - 19:55	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Có ai đang đu concert quốc gia hong? Mình điểm danh thử coi nè	516094532_755282600696413_6414325499716761821_n.jpg			Dương	L	
09/08/25 - 21:58	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Bầu trời thành phố hôm nay rực rỡ vẻ đẹp hoà bình		528622550_23881896554827673_4456020729827377433_n.mp4		Dương	L	
09/08/25 - 23:47	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Khoảnh khắc Quốc ca vang lên, tất cả đồng loạt đứng nghiêm chào cờ dù cho hôm nay là tối thứ 7    Không ai bảo ai nhưng toàn thể người dân đều tự động đứng dậy cất lên tiếng hát tự hào. Mình tin rằng, dù là thứ Bảy, Chủ nhật hay bất kỳ khoảnh khắc nào, khi giai điệu Tiến quân ca vang lên, không một người Việt Nam nào lại không cảm thấy giây phút đó thật thiêng liêng.  Tình yêu này dù qua bao nhiêu lớp người nữa, vẫn sẽ vẹn nguyên như ban đầu. Bởi nó quá lớn lao nhưng cũng quá gần gũi, như thể đã thấm vào từng thớ thịt dân mình.  Thành phố mình hôm nay sao mà đẹp quá    #tiepluatuhao		528524857_24279163818360197_2330907989202298427_n.mp4		Dương	L	
09/08/25 - 23:47	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Bài cuối kết ngày ạ				Dương		
10/08/25 - 15:00	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Tiêu chí chọn khách mời của Gia đình gâu gâu: Tôn Hành Giả - Giả Hành Tôn	519439306_1444549053413626_7366217449642394118_n.jpg			Dương	L	
10/08/25 - 15:00	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Rời khỏi cuộc trò chuyện là tự động thành chủ đề của cuộc trò chuyện    Video: vitnaucha0		530382507_24969781019276811_676020703738957087_n.mp4		Dương	L	
10/08/25 - 17:41	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Góc nhìn từ dù lượn đã tạo ra màn pháo hoa “Dưới cờ vinh quang” tại Sài Gòn tối qua    Dưới lá cờ vinh quang của Tổ quốc những bạn trẻ vừa được sống với đam mê, vừa được góp một phần vào vẻ đẹp rực rỡ của hoà bình.  Một thành viên trong đội bay dù lượn đã chia sẻ về cảm xúc khi tham gia biểu diễn:  “Không có gì tuyệt vời hơn cảm giác bay tự do trên bầu trời đêm, phía dưới là một thành phố đang hòa mình trong khúc ca yêu nước. Đam mê của mình như được thăng hoa cùng trái tim tự hào và tình yêu đất nước.”  Đứng phía dưới cứ tưởng là thiết bị không người lái hay máy móc tạo nên màn pháo hoa đó. Nhưng thật ra đã có những trái tim Việt Nam trực tiếp bay lượn “Dưới cờ vinh quang”.   Quá đúng tinh thần, quá mãn nhãn Tổ quốc ơi!  | Câu lạc bộ Blue Sky chia sẻ với Sài Gòn Nghenn  #tiepluatuhao		530378492_24634034562861134_7096228528866204230_n.mp4		Dương	L	
10/08/25 - 19:46	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang				https://drive.google.com/file/d/1iiR1l1WYhVDX-IQswnotzp0H1nCJHRV6/view?usp=drive_link	Dương	L	
10/08/25 - 19:46	FP - Sài Gòn nghenn	Nam Ho Nguyen Hoang	Xuyên suốt các livestage, Bích Phương với mình giống như một người mẹ, bao bọc những “đứa trẻ yếu thế” bằng cả trái tim chân thành   Chiến thắng trong lòng khán giả là chiến thắng vĩ đại nhất, và Bích Phương đã làm được điều đó một cách trọn vẹn và đáng ngưỡng mộ.				Dương	L	
11/08/25 - 10:03	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	@Tuấn Dũng ơi bạn @Nam Ho Nguyen Hoang hôm nay chính thức làm thêm phần fanpage, mà trước đó đã pass kiểm tra policy rồi thì có thể cấp quyền btv luôn không??				Dương	L	
11/08/25 - 10:03	FP - Sài Gòn nghenn	Tuấn Dũng	ok chị ơi				Dương		
11/08/25 - 10:03	FP - Sài Gòn nghenn	Tuấn Dũng	c gửi e link + tình trạng nick nhé				Dương		
11/08/25 - 10:03	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	4 năm đại học không dài nhưng cũng chẳng ngắn, nhưng có những tình bạn đáng nhớ vậy đó      emty_minhtam	528070952_1048792377243904_9092512337443719152_n.jpg			Dương	L	
11/08/25 - 10:49	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	CHÀNG TRAI ĐẠP XE 1700 KM TỪ TP HCM RA HÀ NỘI XEM DIỄU BINH 2/9    Mặc cái nắng gắt của mùa hè, Trần Hiển Vinh (sinh năm 2002) đạp xe 1.700 km từ TP.HCM ra Hà Nội, quyết tâm cán đích đúng dịp 2/9, như một cách lan tỏa tinh thần yêu nước của riêng mình.  Xuất phát từ Gigamall Thủ Đức (TP.HCM), tính đến ngày 9/8, Vinh đã đặt chân tới TP Vinh (Nghệ An). Trung bình mỗi ngày, chàng trai đi khoảng 100 km; chậm nhất là 80 km khi gặp sự cố thủng lốp hoặc khó tìm chỗ nghỉ, nhanh nhất đạt 130 km khi xuất phát từ 4h30 sáng và đạp đến tối.  Với anh, cán đích Hà Nội vào đúng dịp Quốc khánh mang ý nghĩa đặc biệt: "2/9 là ngày lịch sử trọng đại của đất nước. Đạp xe đến Hà Nội vào thời khắc này là cách tôi thể hiện lòng biết ơn, ghi nhớ và lan tỏa tinh thần yêu nước đến mọi người".  Theo Z News	"  "			Dương	L	
11/08/25 - 10:49	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh				https://lifestyle.znews.vn/dap-xe-1700-km-tu-tphcm-ra-ha-noi-xem-dieu-binh-29-post1575540.html	Dương		
11/08/25 - 10:49	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh		527278036_3163623953792651_8038887337455393916_n.png			Dương		
11/08/25 - 10:49	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	bài này e đặt #tieplua dduojc đó				Dương	L	
11/08/25 - 10:49	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	chị gửi email rồi nha	526917357_1265444937943762_7059748951878703204_n.png			Dương	L	
11/08/25 - 11:46	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh	Áo gọi là màu cháo lòng, thủng lỗ vẫn cứ là mặc vô tư    Video: healing27		530380545_25360494436883735_6932376885068608930_n.mp4		Dương	L	
11/08/25 - 12:43	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	@Tuấn Dũng hú hú nhớ check mail nha				Dương	L	
11/08/25 - 13:27	FP - Sài Gòn nghenn	Đỗ Tiểu Quyên	Người ta muốn đi chơi mà má bắt ở nhà dưỡng da chuẩn bị ăn Tết    Video: mmm_3con		529967480_24772492122336479_2814160514562256310_n.mp4		Dương	L	
11/08/25 - 13:27	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Trung bình nhân sự nọ trong các cuộc họp đầu tuần ở công ty	527771833_3709374146038607_4947115685112027396_n.jpg			Dương	L	
11/08/25 - 14:28	FP - Sài Gòn nghenn	Lê Ngọc Tuyền	Gì chứ cái này tụi tui bơi quài mà  1 du khách đã ghi lại khoảnh khắc của mình khi trải nghiệm cơn mưa tầm tã ở Sài Gòn, đúng kiểu xung quanh toàn là nước êi, dòm mấy người đi cùng vẫn tỉnh lắm, quen gòi.  Video: johnvien_		529089124_24490868547173628_8944809716542153169_n.mp4		Dương	L	
11/08/25 - 14:28	FP - Sài Gòn nghenn	Nguyễn Thành Vĩnh		529438739_756526900452390_6909355898581460780_n.jpg			Dương		
